                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.587,                 1.0943,                 1.4457,                0.82045,                0.77391,                0.81068,                 0.2913,                 2.0955,                 1.2575,                 1.5926,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.6016,                 1.0861,                 1.4459,                0.82011,                0.83063,                0.85043,                0.36633,                 1.8543,                 1.1943,                 1.4954,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.6089,                 1.1045,                 1.4603,                0.78653,                0.79663,                0.79624,                 0.3026,                 2.1363,                 1.2151,                 1.5818,               0.000614,               0.000614,               0.000614
                     38,                 1.5708,                 1.1009,                 1.4798,                0.82129,                0.82807,                0.84344,                0.36606,                 1.8705,                 1.2042,                 1.5232,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.5428,                 1.0457,                 1.4248,                0.80816,                0.77658,                0.79888,                0.28527,                  2.207,                 1.2293,                 1.5999,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.5968,                 1.0637,                 1.4383,                0.83499,                 0.8036,                 0.8331,                0.34491,                 1.9423,                 1.1934,                 1.5016,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.5697,                0.99498,                 1.4482,                0.74377,                0.71655,                0.70111,                0.21064,                 2.4287,                 1.3534,                 1.7507,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.5192,                0.96178,                 1.3972,                0.80015,                0.78559,                0.79445,                0.29063,                 2.1069,                 1.2612,                 1.5848,               0.000416,               0.000416,               0.000416
                     43,                 1.5044,                0.95681,                 1.4268,                0.80014,                0.76757,                0.77243,                0.26153,                 2.1837,                 1.2872,                 1.6391,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.4913,                0.94215,                 1.4147,                0.82678,                0.80541,                0.82511,                0.31025,                 2.0593,                 1.2067,                 1.5824,              0.0003368,              0.0003368,              0.0003368
                     45,                  1.511,                0.92272,                 1.4236,                0.82064,                0.79139,                 0.8043,                0.29604,                 2.1377,                 1.1776,                 1.5837,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.5205,                0.92234,                 1.4179,                0.78754,                0.75472,                0.75464,                0.24169,                 2.3444,                 1.2606,                 1.6742,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.4487,                0.88823,                  1.386,                0.82604,                 0.8018,                0.81248,                0.30796,                  2.052,                 1.1994,                 1.5503,               0.000218,               0.000218,               0.000218
                     48,                 1.4509,                0.88772,                 1.3768,                0.80805,                0.77838,                0.78858,                0.28297,                 2.1635,                 1.2287,                 1.5966,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.4344,                0.86954,                 1.3751,                0.76504,                0.74054,                0.73378,                0.22778,                 2.3856,                 1.2775,                 1.7095,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.4159,                0.86561,                  1.354,                0.82144,                0.78739,                0.80486,                0.28162,                 2.1823,                 1.2148,                 1.6019,               9.92e-05,               9.92e-05,               9.92e-05
